Learning Rate,Epochs,Depth,Dropout,Test Accuracy,Train Loss,Time (s)
0.001,10,4,0.4,80.65,0.1600250862538814,258.3964674472809
0.001,15,4,0.4,79.69999999999999,0.13060230389237398,389.4003745317459
0.001,15,4,0.2,79.345,0.0057694044662638996,386.5092862844467
0.001,10,4,0.0,79.30000000000001,0.05118999443948265,259.11470198631287
0.001,10,3,0.2,79.26499999999999,0.7548713088035583,222.76692652702332
0.001,15,4,0.0,78.97,0.08071105577982961,388.89999663829803
0.001,5,4,0.2,78.965,0.8593669831752777,132.9982304573059
0.001,15,3,0.4,78.845,0.11234366893768305,331.4757900238037
0.001,10,4,0.2,78.75999999999999,0.10207153670489781,257.61270022392273
0.001,15,3,0.2,78.27000000000001,0.2727142423391342,331.07950246334076
0.001,10,3,0.4,78.065,0.640881210565567,221.86008870601654
0.001,5,4,0.4,78.05000000000001,0.39776875078678126,132.14702379703522
0.001,5,4,0.0,77.465,0.44383983314037323,135.14071416854858
0.001,15,3,0.0,77.33500000000001,0.07234602794051165,332.0206823348999
0.001,5,3,0.2,77.08,0.6204234957695007,113.96871328353882
0.0001,15,3,0.2,76.89,0.4216736853122711,343.48644518852234
0.001,10,3,0.0,76.84,0.22774034738540647,222.64356565475464
0.0001,15,3,0.4,76.595,0.3805364817380905,346.0799080133438
0.001,5,3,0.0,76.45,0.8840375244617462,114.21127903461456
0.01,15,4,0.0,75.56,0.38535241037607193,408.95155107975006
0.0001,15,4,0.4,75.42500000000001,0.23386423289775846,393.05054461956024
0.0001,10,3,0.2,75.27000000000001,0.5264696627855301,224.96619200706482
0.001,15,2,0.4,75.255,0.6502280235290527,287.47751474380493
0.001,5,3,0.4,75.21000000000001,0.6234772056341171,115.62955641746521
0.0001,15,2,0.4,75.13,0.5482452511787415,297.1862791776657
0.0001,15,2,0.2,75.0,0.4574320912361145,295.5297751426697
0.01,15,4,0.2,74.975,0.44799475371837616,410.0184086561203
0.0001,10,3,0.4,74.945,0.6348184645175934,226.23664164543152
0.0001,10,4,0.4,74.89,0.3630862534046173,264.57581973075867
0.001,15,2,0.2,74.68,0.312820540741086,286.4852659702301
0.0001,15,4,0.2,74.66499999999999,0.04339232854545115,391.8226660490036
0.0001,15,3,0.0,74.605,0.2038304582238197,345.51966881752014
0.0001,10,4,0.2,74.595,0.34570637345314026,263.96252703666687
0.01,10,4,0.2,74.5,1.0696141123771667,257.40810489654547
0.01,10,4,0.0,74.44,0.31241604685783386,261.3333362340927
0.0001,5,4,0.0,74.39500000000001,0.4130125120282173,129.7394621372223
0.0001,10,3,0.0,74.375,0.4885660260915756,227.71723675727844
0.001,10,2,0.2,74.22999999999999,0.5849723368883133,195.06616520881656
0.0001,5,4,0.2,74.195,0.6523613929748535,128.9673948287964
0.001,10,2,0.4,74.17500000000001,0.7607311010360718,196.76418328285217
0.01,15,4,0.4,73.98,0.3906764015555382,408.2399283647537
0.0001,15,4,0.0,73.97,0.08374950848519795,402.6109582185745
0.0001,15,2,0.0,73.955,0.15989660099148745,295.7717741727829
0.0001,10,4,0.0,73.905,0.15284629166126246,267.280673623085
0.001,10,2,0.0,73.73,0.1033606864511966,197.2329659461975
0.0001,10,2,0.2,73.685,0.8071358650922774,193.6610770225525
0.001,5,2,0.2,73.51,0.84377121925354,102.34692394733429
0.0001,5,3,0.4,73.35,0.7431135475635529,110.9255781173706
0.001,15,2,0.0,73.345,0.2909449599683285,286.58070063591003
0.0001,10,2,0.0,73.32,0.369156114757061,191.7865116596222
0.0001,5,4,0.4,73.19,0.6402289569377899,129.5504994392395
0.0001,5,3,0.0,72.97999999999999,0.6167197972536087,110.64513826370239
0.01,10,4,0.4,72.93,0.7157077789306641,258.3100892305374
0.001,5,2,0.0,72.735,0.8276226222515106,102.88752973079681
0.01,15,3,0.2,72.565,0.44573310017585754,343.45293951034546
0.0001,10,2,0.4,72.405,0.7271249294281006,203.19115006923676
0.0001,5,3,0.2,72.395,0.6544064283370972,110.74567520618439
0.01,5,4,0.0,71.91,0.5901364237070084,133.72020876407623
0.01,15,3,0.0,71.59,0.3036307021975517,330.85372602939606
0.001,5,2,0.4,71.21000000000001,1.1325827240943909,100.03279185295105
0.0001,5,2,0.0,71.195,0.8426806926727296,96.0158008337021
0.0001,5,2,0.2,71.125,0.7467186450958252,96.07060706615448
0.0001,5,2,0.4,70.6,0.9792212843894958,95.95418739318848
0.01,10,3,0.0,70.16499999999999,0.693994402885437,224.30704867839813
0.01,5,4,0.2,70.075,0.6687877476215363,132.3293892145157
0.01,5,3,0.0,68.715,0.8607349991798401,115.1167471408844
0.01,15,3,0.4,68.70500000000001,0.8042058348655701,349.21150612831116
0.01,5,4,0.4,68.36500000000001,0.9248366951942444,131.36095547676086
0.01,10,3,0.2,68.185,0.8932578563690184,219.17095041275024
0.01,10,3,0.4,66.555,0.9172603189945221,219.7150875329971
0.01,5,3,0.2,64.9,1.741622269153595,114.83878910541534
0.01,10,2,0.0,63.875,0.572340115904808,195.6264522075653
0.01,15,2,0.0,63.55,0.9571510851383209,285.8078030347824
0.01,15,2,0.2,62.89,1.3269911408424377,284.93910562992096
0.01,15,2,0.4,62.39,1.696532428264618,285.5371677875519
0.01,10,2,0.4,60.7,1.3341382145881653,193.38226699829102
0.01,5,3,0.4,59.15,1.540038287639618,114.31077790260315
0.01,10,2,0.2,58.370000000000005,1.2187467813491821,200.54549515247345
0.01,5,2,0.2,54.3,1.664736032485962,97.1335836648941
0.01,5,2,0.4,51.65,1.7142439484596252,96.85274839401245
0.01,5,2,0.0,23.895,1.917869210243225,100.87023758888245
