Learning Rate,Epochs,Depth,Acc @ Dropout 0.0,Acc @ Dropout 0.2,Acc @ Dropout 0.4
0.0001,5,2,71.195,71.125,70.6
0.0001,5,3,72.97999999999999,72.395,73.35
0.0001,5,4,74.39500000000001,74.195,73.19
0.0001,10,2,73.32,73.685,72.405
0.0001,10,3,74.375,75.27000000000001,74.945
0.0001,10,4,73.905,74.595,74.89
0.0001,15,2,73.955,75.0,75.13
0.0001,15,3,74.605,76.89,76.595
0.0001,15,4,73.97,74.66499999999999,75.42500000000001
0.001,5,2,72.735,73.51,71.21000000000001
0.001,5,3,76.45,77.08,75.21000000000001
0.001,5,4,77.465,78.965,78.05000000000001
0.001,10,2,73.73,74.22999999999999,74.17500000000001
0.001,10,3,76.84,79.26499999999999,78.065
0.001,10,4,79.30000000000001,78.75999999999999,80.65
0.001,15,2,73.345,74.68,75.255
0.001,15,3,77.33500000000001,78.27000000000001,78.845
0.001,15,4,78.97,79.345,79.69999999999999
0.01,5,2,23.895,54.3,51.65
0.01,5,3,68.715,64.9,59.15
0.01,5,4,71.91,70.075,68.36500000000001
0.01,10,2,63.875,58.370000000000005,60.7
0.01,10,3,70.16499999999999,68.185,66.555
0.01,10,4,74.44,74.5,72.93
0.01,15,2,63.55,62.89,62.39
0.01,15,3,71.59,72.565,68.70500000000001
0.01,15,4,75.56,74.975,73.98
